num_expediente;fecha;hora;localizacion;numero;distrito;tipo_accidente;estado_meteorológico;tipo_vehiculo;tipo_persona;rango_edad;sexo;lesividad;coordenada_x_utm;coordenada_y_utm;positiva_alcohol;positiva_droga
2021S000047;01/01/2021;11:38:00;CALL. JOSE BERGAMIN / CALL. FLORENCIO CANO CRISTOBAL;62;MORATALAZ;Caída;Despejado;Bicicleta;Conductor;De 45 a 49 años;Hombre;2;446334,56;4473592,52;N;NULL
2021S000142;04/01/2021;11:30:00;WANDA METROPOLITANO PARQUE FAROLA 20;1;SAN BLAS-CANILLEJAS;Caída;Despejado;Bicicleta;Conductor;De 15 a 17 años;Hombre;14;448572,73;4476253,86;N;NULL
2021S000142;04/01/2021;11:30:00;WANDA METROPOLITANO PARQUE FAROLA 20;1;SAN BLAS-CANILLEJAS;Caída;Despejado;Bicicleta;Conductor;De 18 a 20 años;Hombre;14;448572,73;4476253,86;N;NULL
2021S000142;04/01/2021;11:30:00;WANDA METROPOLITANO PARQUE FAROLA 20;1;SAN BLAS-CANILLEJAS;Caída;Despejado;Bicicleta;Conductor;De 21 a 24 años;Hombre;14;448572,73;4476253,86;N;NULL
2021S000142;04/01/2021;11:30:00;WANDA METROPOLITANO PARQUE FAROLA 20;1;SAN BLAS-CANILLEJAS;Caída;Despejado;Bicicleta;Conductor;De 50 a 54 años;Hombre;6;448572,73;4476253,86;N;NULL
2021S000204;05/01/2021;16:35:00;PLAZA EMPERADOR V, Nº11;11;CENTRO;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;De 18 a 20 años;Hombre;NULL;441236,76;4473384,94;N;NULL
2021S000225;04/01/2021;10:40:00;PASEO. PRADO / PLAZA. MURILLO;11;RETIRO;Alcance;Despejado;Bicicleta;Conductor;De 40 a 44 años;Hombre;7;441245,57;4473910,99;N;NULL
2021S000511;16/01/2021;18:50:00;AVDA. CIUDAD DE BARCELONA, 144;144;RETIRO;Alcance;Despejado;Bicicleta;Conductor;De 21 a 24 años;Hombre;3;442433,95;4472704,66;N;NULL
2021S000675;18/01/2021;22:42:00;RONDA. VALENCIA, 5;5;ARGANZUELA;Alcance;Despejado;Bicicleta;Conductor;De 25 a 29 años;Hombre;1;440510,53;4472977,31;N;NULL
2021S000806;22/01/2021;23:25:00;CALL. BRAVO MURILLO, 97;97;CHAMBERÍ;Caída;NULL;Bicicleta;Conductor;De 25 a 29 años;Hombre;NULL;440286,06;4477540,86;N;NULL
